Phone Issues,Time of Issue,Caller ID Number,Advertiser Business Phone Number,Type of Call or Message (Robocalls),Type of Call or Message (Telemarketing),State,Date (Ticket Date of Issue),Date (Ticket Created)
Telemarketing (including do not call and spoofing),11:30 AM,251-653-0805,-,,Prerecorded Voice,Alabama,9/25/2015,10/1/2015
Telemarketing (including do not call and spoofing),1:24 PM,312-800-9056,-,,Prerecorded Voice,Maryland,9/25/2015,10/1/2015
Telemarketing (including do not call and spoofing),3:00 PM,819-740-1438,819-740-1438,,Prerecorded Voice,North Carolina,9/25/2015,10/1/2015
Telemarketing (including do not call and spoofing),3:07 PM,-,505-277-9866,,Live Voice,New Mexico,9/25/2015,10/1/2015
Robocalls,8:30 a.m.,-,678-701-5965,Autodialed Live Voice Call,,Arizona,9/26/2015,10/1/2015
Robocalls,9:36 AM,678-487-8398,-,Prerecorded Voice,,Georgia,9/26/2015,10/1/2015
Telemarketing (including do not call and spoofing),-,214-283-1316,-,,Abandoned Calls,Washington,9/26/2015,10/1/2015
Telemarketing (including do not call and spoofing),4:36 PM,703-991-6787,703-991-6787,,Live Voice,California,9/27/2015,10/1/2015
Telemarketing (including do not call and spoofing),6:53 p.m.,860-885-5399,-,,Live Voice,Florida,9/27/2015,10/1/2015
Robocalls,-,-,-,Abandoned Call,,California,9/28/2015,10/1/2015
Robocalls,11:31 a.m.,863-777-2311,-,Prerecorded Voice,,Arizona,9/28/2015,10/1/2015
Robocalls,3:19 p.m.,415-946-5707,-,Prerecorded Voice,,Pennsylvania,9/28/2015,10/1/2015
Robocalls,3:52 PM,678-487-8398,-,Prerecorded Voice,,Georgia,9/28/2015,10/1/2015
Telemarketing (including do not call and spoofing),-,-,-,,Live Voice,Oklahoma,9/28/2015,10/1/2015
Telemarketing (including do not call and spoofing),10:13 A.M.,763-441-3787,-,,Prerecorded Voice,Minnesota,9/28/2015,10/1/2015
Telemarketing (including do not call and spoofing),11:58 a.m.,626-873-7938,626-873-7938,,Prerecorded Voice,Georgia,9/28/2015,10/1/2015
Telemarketing (including do not call and spoofing),2:18 PM,-,-,,Prerecorded Voice,Kansas,9/28/2015,10/1/2015
Telemarketing (including do not call and spoofing),7:00 PM,209-625-1232,-,,Live Voice,California,9/28/2015,10/1/2015
Telemarketing (including do not call and spoofing),8:00 PM,866-869-1920,-,,Abandoned Calls,Ohio,9/28/2015,10/1/2015
Telemarketing (including do not call and spoofing),9:43 AM,-,786-275-5986,,Live Voice,Arkansas,9/28/2015,10/1/2015
Robocalls,2:49 PM,818-943-2134,-,Prerecorded Voice,,Massachusetts,9/29/2015,10/1/2015
Robocalls,4:09 PM,240-573-7979,-,Prerecorded Voice,,Massachusetts,9/29/2015,10/1/2015
Telemarketing (including do not call and spoofing),3:22 PM,209-217-3234,-,,Live Voice,Connecticut,9/29/2015,10/1/2015
Telemarketing (including do not call and spoofing),04:43 P.M.,-,323-223-3372,,Live Voice,California,9/29/2015,10/1/2015
Telemarketing (including do not call and spoofing),10:29 a.m.,015-875-4550,-,,Live Voice,Washington,9/29/2015,10/1/2015
Telemarketing (including do not call and spoofing),11:53 a.m.,724-897-7877,-,,Live Voice,Missouri,9/29/2015,10/1/2015
Telemarketing (including do not call and spoofing),12:00 PM,215-624-8359,-,,Live Voice,Pennsylvania,9/29/2015,10/1/2015
Telemarketing (including do not call and spoofing),2:00  P.M.,-,-,,Live Voice,Michigan,9/29/2015,10/1/2015
Telemarketing (including do not call and spoofing),3:39 PM,301-689-9705,-,,Prerecorded Voice,Maryland,9/29/2015,10/1/2015
Telemarketing (including do not call and spoofing),4:13 p.m.,855-402-0737,-,,Live Voice,New York,9/29/2015,10/1/2015
Telemarketing (including do not call and spoofing),4:21 PM,-,-,,Live Voice,North Carolina,9/29/2015,10/1/2015
Telemarketing (including do not call and spoofing),5:01 p.m.,213-992-5916,213-992-5916,,Prerecorded Voice,Georgia,9/29/2015,10/1/2015
Telemarketing (including do not call and spoofing),8:59 PM,603-555-0102,-,,Live Voice,Washington,9/29/2015,10/1/2015
Robocalls,-,202-864-1122,202-864-1122,Prerecorded Voice,,Arizona,9/30/2015,10/1/2015
Robocalls,10:26 AM,678-487-8398,-,Prerecorded Voice,,Georgia,9/30/2015,10/1/2015
Robocalls,11:28 AM,510-642-8159,-,Abandoned Call,,Florida,9/30/2015,10/1/2015
Robocalls,12:47 PM,904-910-9667,904-910-9667,Abandoned Call,,Virginia,9/30/2015,10/1/2015
Robocalls,1:43 PM,-,-,Prerecorded Voice,,Florida,9/30/2015,10/1/2015
Robocalls,1:56 PM,513-847-0089,513-847-0089,Abandoned Call,,North Dakota,9/30/2015,10/1/2015
Robocalls,2:01 PM,707-361-4694,-,Prerecorded Voice,,Texas,9/30/2015,10/1/2015
Robocalls,5:15 PM,314-449-9388,-,Prerecorded Voice,,Maryland,9/30/2015,10/1/2015
Robocalls,6:08 PM,509-978-0288,-,Autodialed Live Voice Call,,Michigan,9/30/2015,10/1/2015
Robocalls,6:23 PM,213-503-8127,-,Prerecorded Voice,,New Jersey,9/30/2015,10/1/2015
Robocalls,6:27 PM,513-847-0089,513-847-0089,Abandoned Call,,North Dakota,9/30/2015,10/1/2015
Robocalls,6:39 PM,609-423-1167,-,Abandoned Call,,New Jersey,9/30/2015,10/1/2015
Robocalls,7:00 PM,561-757-7182,-,Prerecorded Voice,,Michigan,9/30/2015,10/1/2015
Robocalls,7:21 PM,626-202-7524,-,Prerecorded Voice,,Florida,9/30/2015,10/1/2015
Robocalls,8:00 PM,646-866-9198,-,Prerecorded Voice,,New York,9/30/2015,10/1/2015
Robocalls,8:21 PM,415-830-6651,-,Abandoned Call,,California,9/30/2015,10/1/2015
Robocalls,8:59 PM,213-503-8127,-,Prerecorded Voice,,Florida,9/30/2015,10/1/2015
Telemarketing (including do not call and spoofing),-,-,202-595-9434,,Prerecorded Voice,Oregon,9/30/2015,10/1/2015
Telemarketing (including do not call and spoofing),-,458-202-0949,-,,Live Voice,California,9/30/2015,10/1/2015
Telemarketing (including do not call and spoofing),-,512-955-3215,-,,Abandoned Calls,Texas,9/30/2015,10/1/2015
Telemarketing (including do not call and spoofing),-,720-545-2045,-,,Live Voice,Colorado,9/30/2015,10/1/2015
Telemarketing (including do not call and spoofing),3:11 PM,786-452-4865,-,,Prerecorded Voice,Connecticut,9/30/2015,10/1/2015
Telemarketing (including do not call and spoofing),03:37 P.M.,-,805-876-5479,,Live Voice,California,9/30/2015,10/1/2015
Telemarketing (including do not call and spoofing),10:00 AM,877-399-6374,877-399-6374,,Live Voice,Utah,9/30/2015,10/1/2015
Telemarketing (including do not call and spoofing),1:00 PM,919-306-3661,-,,Live Voice,North Carolina,9/30/2015,10/1/2015
Telemarketing (including do not call and spoofing),10:15 PM,302-351-5932,-,,Live Voice,Utah,9/30/2015,10/1/2015
Telemarketing (including do not call and spoofing),10:30 p.m.,510-962-4562,-,,Live Voice,Nevada,9/30/2015,10/1/2015
Telemarketing (including do not call and spoofing),10:40 AM,240-573-7979,-,,Prerecorded Voice,Maryland,9/30/2015,10/1/2015
Telemarketing (including do not call and spoofing),10:49 A.M.,-,469-828-3993,,Live Voice,California,9/30/2015,10/1/2015
Telemarketing (including do not call and spoofing),11:00 AM,844-202-7283,844-202-7283,,Live Voice,Illinois,9/30/2015,10/1/2015
Telemarketing (including do not call and spoofing),11:09 AM,508-970-3358,-,,Abandoned Calls,Massachusetts,9/30/2015,10/1/2015
Telemarketing (including do not call and spoofing),11:18 AM,253-245-2251,-,,Prerecorded Voice,Michigan,9/30/2015,10/1/2015
Telemarketing (including do not call and spoofing),11:19 AM,866-498-9473,-,,Abandoned Calls,California,9/30/2015,10/1/2015
Telemarketing (including do not call and spoofing),11:29 A.M.,-,562-774-7851,,Live Voice,California,9/30/2015,10/1/2015
Telemarketing (including do not call and spoofing),11:55 p.m.,844-468-2992,844-468-2995,,Live Voice,Indiana,9/30/2015,10/1/2015
Telemarketing (including do not call and spoofing),12:50 PM,763-445-4982,-,,Prerecorded Voice,New York,9/30/2015,10/1/2015
Telemarketing (including do not call and spoofing),1:33 p.m.,223-600-1229,-,,Live Voice,Ohio,9/30/2015,10/1/2015
Telemarketing (including do not call and spoofing),1:57 PM,703-408-2085,-,,Prerecorded Voice,Virginia,9/30/2015,10/1/2015
Telemarketing (including do not call and spoofing),1:57 PM,844-413-3400,877-774-2199,,Live Voice,New York,9/30/2015,10/1/2015
Telemarketing (including do not call and spoofing),2:15 PM,786-452-4865,-,,Prerecorded Voice,California,9/30/2015,10/1/2015
Telemarketing (including do not call and spoofing),2:30 p.m.,234-217-8305,-,,Prerecorded Voice,Texas,9/30/2015,10/1/2015
Telemarketing (including do not call and spoofing),2:58 PM,-,-,,Live Voice,New Jersey,9/30/2015,10/1/2015
Telemarketing (including do not call and spoofing),3:00 PM,000-000-0000,-,,Live Voice,South Carolina,9/30/2015,10/1/2015
Telemarketing (including do not call and spoofing),3:09 p.m.,505-357-0034,-,,Live Voice,Oklahoma,9/30/2015,10/1/2015
Telemarketing (including do not call and spoofing),3:32 PM,800-542-6984,-,,Live Voice,Louisiana,9/30/2015,10/1/2015
Telemarketing (including do not call and spoofing),4:00 p.m.,646-866-9198,-,,Live Voice,Missouri,9/30/2015,10/1/2015
Telemarketing (including do not call and spoofing),4:11 PM,313-349-5713,-,,Live Voice,Michigan,9/30/2015,10/1/2015
Telemarketing (including do not call and spoofing),4:12 PM,702-993-0399,-,,Live Voice,Illinois,9/30/2015,10/1/2015
Telemarketing (including do not call and spoofing),4:13 p.m.,728-726-6214,-,,Prerecorded Voice,Florida,9/30/2015,10/1/2015
Telemarketing (including do not call and spoofing),4:30 p.m.,250-079-7595,-,,Prerecorded Voice,Michigan,9/30/2015,10/1/2015
Telemarketing (including do not call and spoofing),4:30 PM,203-318-9282,-,,Live Voice,New Jersey,9/30/2015,10/1/2015
Telemarketing (including do not call and spoofing),4:46 PM,254-485-6444,-,,Live Voice,Texas,9/30/2015,10/1/2015
Telemarketing (including do not call and spoofing),4:53 PM,850-516-4819,-,Prerecorded Voice,Prerecorded Voice,Florida,9/30/2015,10/1/2015
Telemarketing (including do not call and spoofing),4:56 p.m.,317-497-3748,-,,Abandoned Calls,Texas,9/30/2015,10/1/2015
Telemarketing (including do not call and spoofing),5:01 PM,703-260-6318,-,,Prerecorded Voice,Maryland,9/30/2015,10/1/2015
Telemarketing (including do not call and spoofing),5:04 PM,609-270-0113,-,,Prerecorded Voice,Illinois,9/30/2015,10/1/2015
Telemarketing (including do not call and spoofing),5:58 PM,709-351-1454,-,,Prerecorded Voice,New Jersey,9/30/2015,10/1/2015
Telemarketing (including do not call and spoofing),6:05 PM,858-401-7167,-,,Live Voice,New York,9/30/2015,10/1/2015
Telemarketing (including do not call and spoofing),6:15 p.m.,954-587-6813,-,,Live Voice,Texas,9/30/2015,10/1/2015
Telemarketing (including do not call and spoofing),6:32 AM,-,-,,Live Voice,California,9/30/2015,10/1/2015
Telemarketing (including do not call and spoofing),6:45 a.m.,541-512-6185,541-512-6185,,Live Voice,Arizona,9/30/2015,10/1/2015
Telemarketing (including do not call and spoofing),6:49 p.m.,703-281-1348,-,,Abandoned Calls,Virginia,9/30/2015,10/1/2015
Telemarketing (including do not call and spoofing),7:30 AM,-,855-926-2257,,Prerecorded Voice,California,9/30/2015,10/1/2015
Telemarketing (including do not call and spoofing),7:30 PM,-,-,,Prerecorded Voice,California,9/30/2015,10/1/2015
Telemarketing (including do not call and spoofing),7:35 PM,240-573-7981,-,,Live Voice,Virginia,9/30/2015,10/1/2015
Telemarketing (including do not call and spoofing),7:42 PM,218-342-1910,-,,Live Voice,Michigan,9/30/2015,10/1/2015
Telemarketing (including do not call and spoofing),8:00 AM,410-312-8222,-,,Live Voice,North Carolina,9/30/2015,10/1/2015
Telemarketing (including do not call and spoofing),8:00 AM,888-217-3212,-,,Prerecorded Voice,Nebraska,9/30/2015,10/1/2015
Telemarketing (including do not call and spoofing),8:06 PM,786-600-1318,-,,Live Voice,New Jersey,9/30/2015,10/1/2015
Telemarketing (including do not call and spoofing),8:15 PM,785-542-0060,-,,Live Voice,Kansas,9/30/2015,10/1/2015
Telemarketing (including do not call and spoofing),9:56 AM,347-408-0225,347-408-0225,,Live Voice,Maryland,9/30/2015,10/1/2015
Telemarketing (including do not call and spoofing),9:56 PM,410-312-8222,800-204-3174,,Live Voice,Vermont,9/30/2015,10/1/2015
Robocalls,-,-,-,Prerecorded Voice,,Alabama,10/1/2015,10/1/2015
Robocalls,-,-,-,Prerecorded Voice,,Iowa,10/1/2015,10/1/2015
Robocalls,-,-,409-737-6010,Abandoned Call,,Arizona,10/1/2015,10/1/2015
Robocalls,-,305-713-1010,-,Prerecorded Voice,,Illinois,10/1/2015,10/1/2015
Robocalls,-,314-923-4444,-,Abandoned Call,,California,10/1/2015,10/1/2015
Robocalls,-,501-538-4260,-,Prerecorded Voice,,Arkansas,10/1/2015,10/1/2015
Robocalls,-,509-346-6043,509-346-6043,Prerecorded Voice,,Tennessee,10/1/2015,10/1/2015
Robocalls,-,781-348-9421,-,Abandoned Call,,Massachusetts,10/1/2015,10/1/2015
Robocalls,-,847-989-2220,-,Prerecorded Voice,,Virginia,10/1/2015,10/1/2015
Robocalls,1:10 PM,908-380-2008,-,Prerecorded Voice,,New Jersey,10/1/2015,10/1/2015
Robocalls,10:00 AM,-,803-217-3808,Abandoned Call,,North Carolina,10/1/2015,10/1/2015
Robocalls,10:00 a.m.,-,-,Prerecorded Voice,,Texas,10/1/2015,10/1/2015
Robocalls,10:00 AM,682-628-4323,-,Abandoned Call,,California,10/1/2015,10/1/2015
Robocalls,10:05 AM,-,-,Prerecorded Voice,,Kentucky,10/1/2015,10/1/2015
Robocalls,1:00 PM,-,360-861-4105,Prerecorded Voice,,Minnesota,10/1/2015,10/1/2015
Robocalls,1:00 PM,202-684-6519,202-684-6519,Prerecorded Voice,,Colorado,10/1/2015,10/1/2015
Robocalls,1:00 PM,954-858-5445,-,Abandoned Call,,Oklahoma,10/1/2015,10/1/2015
Robocalls,10:23 a.m.,615-296-0197,-,Abandoned Call,,California,10/1/2015,10/1/2015
Robocalls,10:24 AM,832-963-3916,-,Prerecorded Voice,,Oregon,10/1/2015,10/1/2015
Robocalls,10:26 AM,513-847-0089,513-847-0089,Abandoned Call,,North Dakota,10/1/2015,10/1/2015
Robocalls,10:29 a.m.,509-566-3419,509-566-3419,Prerecorded Voice,,California,10/1/2015,10/1/2015
Robocalls,10:30 AM,-,-,Prerecorded Voice,,New Jersey,10/1/2015,10/1/2015
Robocalls,10:30 AM,206-905-9987,206-905-9987,Prerecorded Voice,,Indiana,10/1/2015,10/1/2015
Robocalls,10:30 AM,840-367-1538,-,Prerecorded Voice,,Texas,10/1/2015,10/1/2015
Robocalls,10:30 A.M.,417-731-4098,-,Prerecorded Voice,,Illinois,10/1/2015,10/1/2015
Robocalls,10:35 AM,858-524-4881,-,Abandoned Call,,Maryland,10/1/2015,10/1/2015
Robocalls,1:03 p.m.,813-240-1200,-,Prerecorded Voice,,Florida,10/1/2015,10/1/2015
Robocalls,10:40 AM,240-573-7979,-,Prerecorded Voice,,New York,10/1/2015,10/1/2015
Robocalls,10:40 AM,213-217-9999,-,Prerecorded Voice,,California,10/1/2015,10/1/2015
Robocalls,10:51 a.m.,617-947-7532,-,Prerecorded Voice,,Pennsylvania,10/1/2015,10/1/2015
Robocalls,10:59 AM,234-217-0305,-,Prerecorded Voice,,Connecticut,10/1/2015,10/1/2015
Robocalls,1:07 PM,786-452-4865,-,Prerecorded Voice,,Michigan,10/1/2015,10/1/2015
Robocalls,1:07 PM,800-295-4057,-,Abandoned Call,,Wisconsin,10/1/2015,10/1/2015
Robocalls,1:08 A.M.,360-774-1085,-,Prerecorded Voice,,Maryland,10/1/2015,10/1/2015
Robocalls,11:00 AM,-,-,Prerecorded Voice,,North Carolina,10/1/2015,10/1/2015
Robocalls,11:00 AM,-,832-792-9212,Prerecorded Voice,,Texas,10/1/2015,10/1/2015
Robocalls,11:00 AM,-,843-555-2695,Prerecorded Voice,,South Carolina,10/1/2015,10/1/2015
Robocalls,11:00 AM,325-704-0580,-,Prerecorded Voice,,New York,10/1/2015,10/1/2015
Robocalls,11:00 a.m.,828-337-5695,-,Prerecorded Voice,,North Carolina,10/1/2015,10/1/2015
Robocalls,11:00 AM,702-297-6152,-,Prerecorded Voice,,Nevada,10/1/2015,10/1/2015
Robocalls,11:05 AM,631-505-0143,-,Prerecorded Voice,,Utah,10/1/2015,10/1/2015
Robocalls,1:10 PM,786-452-4865,-,Prerecorded Voice,,Alabama,10/1/2015,10/1/2015
Robocalls,11:11 AM,410-844-5606,-,Prerecorded Voice,,Pennsylvania,10/1/2015,10/1/2015
Robocalls,11:12 AM,386-213-8722,-,Prerecorded Voice,,Illinois,10/1/2015,10/1/2015
Robocalls,11:13 AM,786-523-5048,-,Prerecorded Voice,,Florida,10/1/2015,10/1/2015
Robocalls,11:15 AM,509-588-7380,-,Prerecorded Voice,,New York,10/1/2015,10/1/2015
Robocalls,11:20 AM,704-967-7893,-,Prerecorded Voice,,North Carolina,10/1/2015,10/1/2015
Robocalls,11:20 AM,804-212-2130,804-212-2130,Prerecorded Voice,,Colorado,10/1/2015,10/1/2015
Robocalls,11:22 AM,631-973-4757,-,Prerecorded Voice,,North Carolina,10/1/2015,10/1/2015
Robocalls,11:31 AM,321-246-3408,-,Abandoned Call,,Georgia,10/1/2015,10/1/2015
Robocalls,1:13 p.m.,918-367-3080,-,Prerecorded Voice,,Oklahoma,10/1/2015,10/1/2015
Robocalls,11:40 AM,-,-,Prerecorded Voice,,Colorado,10/1/2015,10/1/2015
Robocalls,11:45 a.m.,240-573-7979,-,Prerecorded Voice,,Indiana,10/1/2015,10/1/2015
Robocalls,11:49 AM,980-818-9514,-,Abandoned Call,,Michigan,10/1/2015,10/1/2015
Robocalls,1:14 PM,240-204-8754,-,Prerecorded Voice,,Texas,10/1/2015,10/1/2015
Robocalls,11:55 A.M.,707-361-4694,-,Prerecorded Voice,,Michigan,10/1/2015,10/1/2015
Robocalls,1:18 PM,832-963-3916,-,Abandoned Call,,Texas,10/1/2015,10/1/2015
Robocalls,1:19 PM,513-847-0089,513-847-0089,Abandoned Call,,North Dakota,10/1/2015,10/1/2015
Robocalls,12:00 PM,-,-,Prerecorded Voice,,South Carolina,10/1/2015,10/1/2015
Robocalls,12:00 PM,405-613-1263,-,Prerecorded Voice,,Oklahoma,10/1/2015,10/1/2015
Robocalls,12:00 P.M.,443-451-4525,-,Abandoned Call,,Alabama,10/1/2015,10/1/2015
Robocalls,12:09 PM,512-240-6880,-,Prerecorded Voice,,Texas,10/1/2015,10/1/2015
Robocalls,12:11 PM,202-864-1311,-,Prerecorded Voice,,Utah,10/1/2015,10/1/2015
Robocalls,1:21 PM,-,315-436-5317,Prerecorded Voice,,Oregon,10/1/2015,10/1/2015
Robocalls,12:23 a.m.,866-621-4150,-,Abandoned Call,,Georgia,10/1/2015,10/1/2015
Robocalls,12:25 PM,213-992-5916,-,Autodialed Live Voice Call,,Georgia,10/1/2015,10/1/2015
Robocalls,12:28 PM,-,202-864-1311,Prerecorded Voice,,Arizona,10/1/2015,10/1/2015
Robocalls,12:30 PM,305-713-1010,-,Prerecorded Voice,,Colorado,10/1/2015,10/1/2015
Robocalls,12:31 PM,-,805-317-0205,Prerecorded Voice,,Michigan,10/1/2015,10/1/2015
Robocalls,12:31 PM,-,844-236-6552,Prerecorded Voice,,Delaware,10/1/2015,10/1/2015
Robocalls,12:33 p.m.,-,-,Prerecorded Voice,,California,10/1/2015,10/1/2015
Robocalls,12:35 p.m.,518-478-2354,-,Prerecorded Voice,,Maryland,10/1/2015,10/1/2015
Robocalls,1:23 PM,541-790-0960,-,Prerecorded Voice,,Arizona,10/1/2015,10/1/2015
Robocalls,12:44 PM,310-402-0589,-,Abandoned Call,,Tennessee,10/1/2015,10/1/2015
Robocalls,12:58 PM,678-487-8398,-,Prerecorded Voice,,Georgia,10/1/2015,10/1/2015
Robocalls,12:58 p.m.,407-101-9984,-,Prerecorded Voice,,Florida,10/1/2015,10/1/2015
Robocalls,12:59 PM,213-503-8127,213-503-8127,Abandoned Call,,North Dakota,10/1/2015,10/1/2015
Robocalls,1:26 PM,-,201-812-2090,Prerecorded Voice,,New Jersey,10/1/2015,10/1/2015
Robocalls,1:28 P.M.,-,-,Prerecorded Voice,,Tennessee,10/1/2015,10/1/2015
Robocalls,1:30 PM,330-603-6989,-,Prerecorded Voice,,Mississippi,10/1/2015,10/1/2015
Robocalls,1:37 PM,267-233-6724,-,Prerecorded Voice,,Nebraska,10/1/2015,10/1/2015
Robocalls,1:38 p.m.,360-870-7704,-,Autodialed Live Voice Call,,Washington,10/1/2015,10/1/2015
Robocalls,1:48 p.m.,516-693-8143,516-693-8143,Prerecorded Voice,,Ohio,10/1/2015,10/1/2015
Robocalls,1:57 PM,321-246-3408,321-246-3408,Prerecorded Voice,,Florida,10/1/2015,10/1/2015
Robocalls,2:00 PM,-,206-900-8703,Prerecorded Voice,,Arizona,10/1/2015,10/1/2015
Robocalls,2:07 p.m.,519-895-9923,-,Prerecorded Voice,,Michigan,10/1/2015,10/1/2015
Robocalls,2:11 PM,-,903-467-3586,Prerecorded Voice,,Indiana,10/1/2015,10/1/2015
Robocalls,2:18 P.M.,865-249-0180,-,Prerecorded Voice,,South Carolina,10/1/2015,10/1/2015
Robocalls,2:28 PM,-,-,Prerecorded Voice,,Texas,10/1/2015,10/1/2015
Robocalls,2:30 PM,-,-,Autodialed Live Voice Call,,California,10/1/2015,10/1/2015
Robocalls,2:40 PM,-,-,Prerecorded Voice,,Kansas,10/1/2015,10/1/2015
Robocalls,2:51 PM,480-721-8710,-,Prerecorded Voice,,Virginia,10/1/2015,10/1/2015
Robocalls,2:52 p.m.,202-391-2805,-,Prerecorded Voice,,District of Columbia,10/1/2015,10/1/2015
Robocalls,2:57 p.m.,608-628-2621,-,Prerecorded Voice,,Wisconsin,10/1/2015,10/1/2015
Robocalls,3:04 PM,863-777-2311,-,Prerecorded Voice,,New Mexico,10/1/2015,10/1/2015
Robocalls,3:04 p.m.,866-746-7622,-,Prerecorded Voice,,New Mexico,10/1/2015,10/1/2015
Robocalls,3:04 PM,321-246-3408,-,Prerecorded Voice,,Florida,10/1/2015,10/1/2015
Robocalls,3:09 PM,865-249-0180,-,Abandoned Call,,Florida,10/1/2015,10/1/2015
Robocalls,3:10 PM,703-260-6318,-,Prerecorded Voice,,Virginia,10/1/2015,10/1/2015
Robocalls,3:15 PM,307-223-8233,-,Prerecorded Voice,,Utah,10/1/2015,10/1/2015
